id,text,emotion,joy,sadness,anger,fear,surprise
0,Panic setting in. Heart racing!,fear,0,0,0,1,0
1,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
2,Amazed! What a twist!,surprise,0,0,0,0,1
3,Flabbergasted! Speechless!,surprise,0,0,0,0,1
4,Startled! That came out of nowhere!,surprise,0,0,0,0,1
5,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
6,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
7,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
8,Astonished! Never saw that coming!,surprise,0,0,0,0,1
9,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
10,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
11,Mad as hell! This is infuriating!,anger,0,0,1,0,0
12,Delighted with the results! So pleased!,joy,1,0,0,0,0
13,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
14,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
15,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
16,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
17,Delighted with the results! So pleased!,joy,1,0,0,0,0
18,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
19,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
20,Delighted with the results! So pleased!,joy,1,0,0,0,0
21,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
22,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
23,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
24,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
25,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
26,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
27,Startled! That came out of nowhere!,surprise,0,0,0,0,1
28,Seething with rage! Lost my temper!,anger,0,0,1,0,0
29,Astonished! Never saw that coming!,surprise,0,0,0,0,1
30,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
31,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
32,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
33,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
34,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
35,Furious! How dare they treat me like this!,anger,0,0,1,0,0
36,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
37,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
38,Astonished! Never saw that coming!,surprise,0,0,0,0,1
39,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
40,Mad as hell! This is infuriating!,anger,0,0,1,0,0
41,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
42,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
43,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
44,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
45,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
46,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
47,Furious! How dare they treat me like this!,anger,0,0,1,0,0
48,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
49,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
50,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
51,Furious! How dare they treat me like this!,anger,0,0,1,0,0
52,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
53,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
54,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
55,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
56,Furious! How dare they treat me like this!,anger,0,0,1,0,0
57,Flabbergasted! Speechless!,surprise,0,0,0,0,1
58,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
59,Bewildered! How did this happen?!,surprise,0,0,0,0,1
60,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
61,Furious! How dare they treat me like this!,anger,0,0,1,0,0
62,Bewildered! How did this happen?!,surprise,0,0,0,0,1
63,Bewildered! How did this happen?!,surprise,0,0,0,0,1
64,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
65,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
66,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
67,Livid! Can't believe this happened!,anger,0,0,1,0,0
