id,text,toxic,obscene,threat,insult,identity_hate
0,You're going to pay for this!,1,0,1,0,0
1,Delivery was prompt.,0,0,0,0,0
2,Fucking hell what a mess!,1,1,0,0,0
3,Brilliant! Solved all my problems!,0,0,0,0,0
4,I respectfully disagree with your opinion.,0,0,0,0,0
5,"Decent quality, not perfect.",0,0,0,0,0
6,OMG this is so good!!!,0,0,0,0,0
7,Love love love this!,0,0,0,0,0
8,Damn it all to hell!,1,1,1,1,1
9,Damn it all to hell!,1,1,0,0,0
10,Shit product!,1,1,0,0,0
11,You better watch out!,1,0,1,0,0
12,Best thing ever! So happy!,0,0,0,0,0
13,Damn it failed!,1,1,0,0,0
14,Product works as described.,0,0,0,0,0
15,This fucking sucks!,1,1,0,0,0
16,What the hell!,1,1,0,0,0
17,Amazing experience! Thank you!,0,0,0,0,0
18,Best thing ever! So happy!,0,0,0,0,0
19,Damn right!,1,1,0,0,0
20,This is incredible! Five stars!,0,0,0,0,0
21,Amazing experience! Thank you!,0,0,0,0,0
22,Love love love this!,0,0,0,0,0
23,Watch your back!,1,0,1,0,0
24,Fucking disaster!,1,1,0,0,0
25,Damn shame!,1,1,0,0,0
26,What a fucking waste!,1,1,0,0,0
27,Absolutely fantastic! Exceeded all expectations!,0,0,0,0,0
28,Outstanding! Will buy again!,0,0,0,0,0
29,This sucks so damn bad!,1,1,0,0,0
30,Wonderful product! Highly satisfied!,0,0,0,0,0
31,Grateful for the quick response!,0,0,0,0,0
32,I'll make sure you regret this!,1,0,1,0,0
33,Piece of shit broke!,1,1,0,0,0
34,This is shit quality!,1,1,0,0,0
35,"Satisfied, though shipping took long.",0,0,0,0,0
36,Screwed up big time!,1,1,0,0,0
37,Perfect! Exactly what I needed!,0,0,0,0,0
38,Can't believe how good this is!,0,0,0,0,0
39,This is complete BS!,1,1,0,0,0
40,You better watch out!,1,0,1,0,0
41,Hell of a bad product!,1,1,0,0,0
42,"Satisfied, though shipping took long.",0,0,0,0,0
43,You're going to pay for this!,1,0,1,0,0
44,Meets my basic needs.,0,0,0,0,0
45,Can we find common ground on this issue?,0,0,0,0,0
46,Shit! This broke already!,1,1,0,0,0
47,Damn it failed!,1,1,0,0,0
48,I love this so much! Highly recommend!,0,0,0,0,0
49,You better watch out!,1,0,1,0,0
50,Can't believe how good this is!,0,0,0,0,0
51,Absolutely fantastic! Exceeded all expectations!,0,0,0,0,0
52,Typical behavior from your group!,1,0,0,0,1
53,Ignorant fool! Learn something!,1,0,0,1,0
54,Ignorant fool! Learn something!,1,0,0,1,0
55,Very thankful for this!,0,0,0,0,0
56,What a load of crap!,1,1,0,0,0
57,Outsiders not welcome!,1,0,0,0,1
58,Let's approach this respectfully.,0,0,0,0,0
59,Best thing ever! So happy!,0,0,0,0,0
60,This shit is unbelievable!,1,1,0,0,0
61,I'm open to learning more about your position.,0,0,0,0,0
62,Fucking disaster!,1,1,0,0,0
63,This fucking sucks!,1,1,0,0,0
64,Awesome! My whole family loves it!,0,0,0,0,0
65,Brilliant! Solved all my problems!,0,0,0,0,0
66,Piece of shit broke!,1,1,0,0,0
67,Functional and practical.,0,0,0,0,0
68,"Happy overall, small suggestions.",0,0,0,0,0
69,Appreciate the fast delivery!,0,0,0,0,0
70,You'll be sorry!,1,0,1,0,0
71,"Decent quality, not perfect.",0,0,0,0,0
72,This is shit quality!,1,1,0,0,0
73,What the hell is this shit!,1,1,0,0,0
74,Outstanding! Will buy again!,0,0,0,0,0
75,Bloody awful!,1,1,0,0,0
76,Damn right!,1,1,0,0,0
77,This crap doesn't work!,1,1,0,0,0
78,Damn shame!,1,1,0,0,0
79,God damn piece of shit!,1,1,0,0,0
80,Damn shame!,1,1,0,0,0
81,Wonderful product! Highly satisfied!,0,0,0,0,0
82,Can we find common ground on this issue?,0,0,0,0,0
83,Your people are all the same!,1,0,0,0,1
84,Functional and practical.,0,0,0,0,0
85,What a load of crap!,1,1,0,0,0
86,Shit product!,1,1,0,0,0
87,Wonderful product! Highly satisfied!,0,0,0,0,0
88,Shit! This broke already!,1,1,0,0,0
89,Amazing experience! Thank you!,0,0,0,0,0
90,Fuck off! I don't care!,1,1,0,0,0
91,Screwed up big time!,1,1,0,0,0
92,Acceptable quality.,0,0,0,0,0
93,"Satisfied, though shipping took long.",0,0,0,0,0
94,"Good value, instructions unclear.",0,0,0,0,0
95,You're an idiot and you don't know anything!,1,0,0,1,0
96,Screw this garbage!,1,1,0,0,0
97,Thank you for sharing your thoughts.,0,0,0,0,0
98,This product is amazing! Best purchase ever!,0,0,0,0,0
99,Delivery was prompt.,0,0,0,0,0
100,Can't believe how good this is!,0,0,0,0,0
101,"Works well, minor issues with setup.",0,0,0,0,0
102,I'll make sure you regret this!,1,0,1,0,0
103,OMG this is so good!!!,0,0,0,0,0
104,This is complete BS!,1,1,0,0,0
105,Piece of junk! Trash!,1,1,0,0,0
106,Hell no! Fuck that!,1,1,0,0,0
107,I think there might be a misunderstanding here.,0,0,0,0,0
108,Could you please explain this more clearly?,0,0,0,0,0
109,Shitty product! Total crap!,1,1,0,0,0
110,OMG this is so good!!!,0,0,0,0,0
111,God damn piece of shit!,1,1,0,0,0
112,Amazing experience! Thank you!,0,0,0,0,0
113,You don't deserve rights!,1,0,0,0,1
114,Outsiders not welcome!,1,0,0,0,1
115,Screwed up big time!,1,1,0,0,0
116,What the hell!,1,1,0,0,0
117,Superb! Couldn't be happier!,0,0,0,0,0
118,Fantastic! Worth every penny!,0,0,0,0,0
119,This crap doesn't work!,1,1,0,0,0
120,Inferior and unwanted!,1,0,0,0,1
121,Fuck this company!,1,1,0,0,0
122,Standard quality for the price.,0,0,0,0,0
123,I'm open to learning more about your position.,0,0,0,0,0
124,"Happy overall, small suggestions.",0,0,0,0,0
125,God damn piece of shit!,1,1,0,0,0
126,Delivery was prompt.,0,0,0,0,0
127,Wonderful product! Highly satisfied!,0,0,0,0,0
128,This sucks so damn bad!,1,1,0,0,0
129,Could you please explain this more clearly?,0,0,0,0,0
130,Love love love this!,0,0,0,0,0
131,Shut up! Nobody cares what you think!,1,0,0,1,0
132,This is utter crap!,1,1,0,0,0
133,Screwed up big time!,1,1,0,0,0
134,What the hell!,1,1,0,0,0
135,Piss poor quality!,1,1,0,0,0
136,Perfect! Exactly what I needed!,0,0,0,0,0
137,Inferior and unwanted!,1,0,0,0,1
138,I think there might be a misunderstanding here.,0,0,0,0,0
139,Holy shit this is bad!,1,1,0,0,0
140,I think there might be a misunderstanding here.,0,0,0,0,0
141,Screw this garbage!,1,1,0,0,0
142,Best thing ever! So happy!,0,0,0,0,0
143,"Works as intended, design could improve.",0,0,0,0,0
144,You'll be sorry!,1,0,1,0,0
145,Damn right!,1,1,0,0,0
146,Thanks for the recommendation!,0,0,0,0,0
147,Fucking disaster!,1,1,0,0,0
148,This product is amazing! Best purchase ever!,0,0,0,0,0
149,What the fuck is wrong with you!,1,1,0,0,0
150,Fucking hell what a mess!,1,1,0,0,0
151,I respectfully disagree with your opinion.,0,0,0,0,0
152,Love love love this!,0,0,0,0,0
153,This is utter crap!,1,1,0,0,0
154,What a fucking waste!,1,1,0,0,0
155,Shit product!,1,1,0,0,0
156,Appreciate your assistance!,0,0,0,0,0
157,Screwed up big time!,1,1,0,0,0
158,I respectfully disagree with your opinion.,0,0,0,0,0
159,This is shit quality!,1,1,0,0,0
160,Outstanding! Will buy again!,0,0,0,0,0
161,You've made a big mistake!,1,0,1,0,0
162,Stay with your own kind!,1,0,0,0,1
163,Product works as described.,0,0,0,0,0
164,Amazing experience! Thank you!,0,0,0,0,0
165,This crap doesn't work!,1,1,0,0,0
166,As expected.,0,0,0,0,0
167,Item matches the description.,0,0,0,0,0
168,Great service! Very pleased!,0,0,0,0,0
169,Acceptable quality.,0,0,0,0,0
170,You're a joke! Everyone laughs at you!,1,0,0,1,0
171,Love love love this!,0,0,0,0,0
172,Item matches the description.,0,0,0,0,0
173,Go back to where you came from!,1,0,0,0,1
174,What a load of crap!,1,1,0,0,0
175,As expected.,0,0,0,0,0
176,I'll make sure you regret this!,1,0,1,0,0
177,What a load of crap!,1,1,0,0,0
178,Holy fuck this sucks!,1,1,0,0,0
179,Absolutely fantastic! Exceeded all expectations!,0,0,0,0,0
180,What a fucking waste!,1,1,0,0,0
181,Awesome! My whole family loves it!,0,0,0,0,0
182,Piss poor quality!,1,1,0,0,0
183,This is complete fucking bullshit!,1,1,0,0,0
184,Hell no! Fuck that!,1,1,0,0,0
185,Love love love this!,0,0,0,0,0
186,This shit is unbelievable!,1,1,0,0,0
187,You're pathetic and useless!,1,0,0,1,0
188,Fucking worst ever!,1,1,0,0,0
189,Screwed up big time!,1,1,0,0,0
190,Your kind ruins everything!,1,0,0,0,1
191,Functional and practical.,0,0,0,0,0
192,This is utter crap!,1,1,0,0,0
193,This sucks so damn bad!,1,1,0,0,0
194,This is fucking ridiculous!,1,1,0,0,0
195,You've made a big mistake!,1,0,1,0,0
196,Your people are all the same!,1,0,0,0,1
197,Great service! Very pleased!,0,0,0,0,0
198,Piss poor quality!,1,1,0,0,0
199,Fucking worst ever!,1,1,0,0,0
200,The package arrived on time.,0,0,0,0,0
201,Excellent quality! Very impressed!,0,0,0,0,0
202,Absolutely fantastic! Exceeded all expectations!,0,0,0,0,0
203,What a load of crap!,1,1,0,0,0
204,"Works well, minor issues with setup.",0,0,0,0,0
205,Bloody awful!,1,1,0,0,0
206,This product is amazing! Best purchase ever!,0,0,0,0,0
207,Screwed up big time!,1,1,0,0,0
208,You're so stupid it hurts!,1,0,0,1,0
209,Moron! Can't believe how dumb you are!,1,0,0,1,0
210,Item matches the description.,0,0,0,0,0
211,Very thankful for this!,0,0,0,0,0
212,Screw this garbage!,1,1,0,0,0
213,Thank you for the excellent service!,0,0,0,0,0
214,Shit! This broke already!,1,1,0,0,0
215,I think there might be a misunderstanding here.,0,0,0,0,0
216,What the hell is this shit!,1,1,0,0,0
217,Let's approach this respectfully.,0,0,0,0,0
218,Excellent quality! Very impressed!,0,0,0,0,0
219,Fucking worst ever!,1,1,0,0,0
220,You're going to pay for this!,1,0,1,0,0
221,Superb! Couldn't be happier!,0,0,0,0,0
222,Moron! Can't believe how dumb you are!,1,0,0,1,0
223,God damn piece of shit!,1,1,0,0,0
224,Functional and practical.,0,0,0,0,0
225,Screwed up big time!,1,1,0,0,0
226,Acceptable quality.,0,0,0,0,0
227,Holy shit this is bad!,1,1,0,0,0
228,"Product is fine, packaging could be better.",0,0,0,0,0
229,Can we find common ground on this issue?,0,0,0,0,0
230,Damn it all to hell!,1,1,0,0,0
231,I'll ruin your life!,1,0,1,0,0
232,Item matches the description.,0,0,0,0,0
233,No complaints so far.,0,0,0,0,0
234,Brilliant! Solved all my problems!,0,0,0,0,0
235,Thank you for the excellent service!,0,0,0,0,0
236,Excellent quality! Very impressed!,0,0,0,0,0
237,Meets my basic needs.,0,0,0,0,0
238,What a loser! Get a life!,1,0,0,1,0
239,Fucking awful experience!,1,1,0,0,0
240,Can we find common ground on this issue?,0,0,0,0,0
